N,P,K,temperature,humidity,ph,rainfall,soil_type,season,region,crop
104.48565837966035,11.453724029638972,19.90247816286423,22.505262612745128,76.6777261244154,6.092528753325304,212.73737266901128,laterite,kharif,hills,coffee
55.71957786048789,42.51830209163325,41.169372866021476,23.03759547107595,59.69276943456844,6.186107684045903,60.352655212464576,alluvial,rabi,north,wheat
109.64912846623288,41.96837323069951,26.493570058616484,27.510348366677608,59.53679607190991,6.831357468578952,94.91877369644516,black,kharif,deccan,cotton
31.18347961330837,144.07299067358113,191.14260514886084,17.39499192551588,93.55936041530235,6.093899498914052,115.2469091485228,silty,temperate,hills,apple
33.698976936554125,131.23751614786005,207.06985805026045,17.140330515428072,80.58552412860429,6.735455282474211,117.92263281913897,silty,temperate,hills,apple
130.58816247799086,37.23890075772042,17.282544985470338,30.34508969205822,62.34446042862895,6.408935339282054,83.29232570053406,black,kharif,deccan,cotton
82.98719441069723,26.92807652670312,35.482396924309114,27.59552552004857,65.79407903841603,6.423769609209268,100.96256759284393,loamy,kharif,plains,maize
125.49498605863319,54.43936891553356,37.753545726226314,28.657870988778658,49.67143215394824,6.733994853447896,91.23471419993004,black,kharif,deccan,cotton
100.74447216941239,33.7241246356308,32.36061660277317,27.974036899448155,88.57755889402162,6.356834777377672,186.28805365230383,clayey,kharif,coastal,rice
18.85401160715851,127.22490883119363,173.27365263450827,19.316766067904442,84.1502053651719,6.219496427085681,91.40056636774649,silty,temperate,hills,apple
43.8725766174484,73.94952458176802,69.3051140617451,22.290992295483196,55.19308712089399,7.093840724760526,41.13626107715109,sandy,rabi,semi-arid,chickpea
78.37908883658373,43.47708452450957,35.1150611637961,26.48814509152783,85.1119538964923,6.416709890941388,213.2148303223197,clayey,kharif,coastal,rice
89.98519836516694,46.29611576643889,10.38367599027773,25.111106844886066,68.33216137105146,6.508287049554931,109.62959498616232,loamy,kharif,plains,maize
6.780487304533995,142.1934092017444,184.96415330542226,19.68794281182636,98.92379558323432,6.413111263578738,123.7794528083637,silty,temperate,hills,apple
25.842017014911246,59.753774287953874,46.65365042016799,21.134350000886545,39.62613867524399,6.92150798828301,77.1535467896752,sandy,rabi,semi-arid,chickpea
